Unnamed: 0,StartDate,EndDate,Progress,Duration (in seconds),RecordedDate,ResponseId,polarization_1,polarization_2,polarization_3,polarization_4,polarization_5,polarization_6,polarization_7,polarization_8,polarization_9,polarization_10,polarization_11,polarization_12,polarization_13,polarization_14,polarization_15,polarization_16,polarization_17,polarization_18,polarization_19,polarization_20,polarization_21,polarization_22,polarization_23,polarization_24,polarization_25,polarization_26,polarization_27,polarization_28,polarization_29,polarization_30,polarization_31,polarization_32,polarization_33,polarization_34,polarization_35,polarization_36,polarization_37,polarization_38,polarization_39,polarization_40,polarization_DO,Personal_1,Personal_2,Personal_3,Personal_4_1,Personal_4_2,Personal_4_3,Personal_4_4,Personal_4_5,Personal_4_6,Personal_4_7,Personal_4_8,Personal_4_9,Personal_4_10,Personal_4_11,Personal_4_12,Personal_4_13,Personal_4_14,Personal_4_15,Personal_4_16,Personal_4_17,Personal_4_18,Personal_4_19,Personal_4_20,Personal_4_21,Personal_4_22,Personal_4_23,Personal_4_24,Personal_4_25,Personal_4_26,Personal_4_27,Personal_4_28,Personal_4_29,Personal_4_30,Personal_4_31,Personal_4_32,Personal_4_33,Personal_4_34,Personal_4_35,Personal_4_36,Personal_4_37,Personal_4_38,Personal_4_39,Personal_4_40,Personal_4_DO,Personal_5,Personal_6,Personal_7,Personal_8
42,2022-10-13 17:09:57,2022-10-13 17:12:32,100,154,2022-10-13 17:12:32,R_Og9OCRE72GUUfbr,,2,,,,,,3,,3,,,3,,,,,,4,,,,4,4,,,,3,3,3,,,,,,,,,,,19|23|29|2|8|24|28|13|10|30,22,2,3,,1,,,,,,2,,2,,,1,,,,,,1,,,,3,2,,,,2,3,1,,,,,,,,,,,19|23|29|2|8|24|28|13|10|30,3,"1,4,5",4,"4,5"
43,2022-10-13 17:15:33,2022-10-13 17:19:03,100,210,2022-10-13 17:19:03,R_RyFI1VUFNwYPdux,,1,,,,,,,,5,,2,4,3,4,,,,,,,,,,,,,,1,,,1,,,,1,,,3,,36|15|12|10|29|2|14|32|13|39,20,1,3,,1,,,,,,,,1,,2,1,1,3,,,,,,,,,,,,,,5,,,3,,,,3,,,3,,36|15|12|10|29|2|14|32|13|39,2,"1,5,6",2,"4,5"
44,2022-10-13 17:19:09,2022-10-13 17:21:16,100,127,2022-10-13 17:21:17,R_Qo9uho2TxOTRNqF,,,,3,,,,,,,,,2,,2,,,,,,,,,,,,5,4,4,3,,,4,,,4,,3,,,15|27|38|30|29|28|13|36|33|4,21,1,1,,,,5,,,,,,,,,5,,4,,,,,,,,,,,,3,5,3,3,,,2,,,5,,3,,,15|27|38|30|29|28|13|36|33|4,3,"2,4,5",4,5
45,2022-10-14 13:35:51,2022-10-14 13:39:18,100,206,2022-10-14 13:39:18,R_3nAzV8yce3M8yIn,,2,5,,,,,,,,,3,5,3,,,,,4,5,,,,,5,,,,,,,,,,4,5,,,,,35|36|2|13|25|14|12|20|19|3,23,2,2,,1,5,,,,,,,,,4,4,3,,,,,4,5,,,,,4,,,,,,,,,,3,4,,,,,35|36|2|13|25|14|12|20|19|3,1,"1,2,4,5,7,8,9,10",2,"4,5,6"
46,2022-10-14 16:32:44,2022-10-14 16:34:14,100,90,2022-10-14 16:34:15,R_3NLqEcrZVmByxQd,3,,,1,,5,4,,,,,,,,,5,1,,3,,,,,5,,,5,,,,,,,,,,,,1,,7|16|19|24|4|6|27|17|39|1,20,1,1,3,,,3,,3,3,,,,,,,,,3,3,,3,,,,,3,,,3,,,,,,,,,,,,3,,7|16|19|24|4|6|27|17|39|1,3,"4,7,8",3,"4,5"
47,2022-10-14 16:32:38,2022-10-14 16:34:24,100,106,2022-10-14 16:34:25,R_2Yc6zLJmOb6HIgk,,,,,,5,,,,5,,,,2,,5,,,,,,,,,,3,,4,,,,5,,,1,5,,3,,,6|32|36|28|16|38|14|26|10|35,20,1,3,,,,,,1,,,,1,,,,1,,1,,,,,,,,,,1,,1,,,,1,,,1,1,,1,,,6|32|36|28|16|38|14|26|10|35,3,"1,4,8",2,5
48,2022-10-14 16:32:32,2022-10-14 16:34:26,100,113,2022-10-14 16:34:26,R_3dY4UrDlBpFlnPa,5,,,3,,,,,5,,,,,,,,,,,,,5,2,,,,5,,2,,,5,,,,5,,,,2,23|29|27|40|4|1|22|36|9|32,20,2,2,2,,,4,,,,,4,,,,,,,,,,,,,3,3,,,,3,,4,,,4,,,,4,,,,4,23|29|27|40|4|1|22|36|9|32,2,"1,2,4,5,8",4,5
49,2022-10-14 16:32:54,2022-10-14 16:34:44,100,109,2022-10-14 16:34:44,R_BxM0gg8PNPHh8Vb,,,5,,,,,,,,,2,,3,,,1,3,4,5,3,,,5,,,,3,,,,,,,,,,,,,17|3|19|12|20|28|14|21|24|18,20,1,2,,,1,,,,,,,,,3,,1,,,1,1,1,3,1,,,3,,,,1,,,,,,,,,,,,,17|3|19|12|20|28|14|21|24|18,3,"1,4,5",2,"1,4,5"
50,2022-10-14 16:33:13,2022-10-14 16:35:17,100,124,2022-10-14 16:35:17,R_32Xd3rcXNe7zO6U,,,5,,,,,,4,4,,2,,,,,,,,,,,2,,,4,,,,3,4,,4,,,,4,,,,9|37|26|3|23|12|10|33|31|30,24,1,3,,,5,,,,,,3,3,,3,,,,,,,,,,,3,,,5,,,,2,2,,2,,,,5,,,,9|37|26|3|23|12|10|33|31|30,4,"2,3",2,5
51,2022-10-14 16:32:35,2022-10-14 16:35:21,100,165,2022-10-14 16:35:21,R_xFun3resf8HXRS1,,,,2,,,,,2,,2,4,,,,1,,,,,,,1,,,,,,,4,4,,,3,,,4,,,,11|31|23|9|16|4|37|30|34|12,23,2,3,,,,4,,,,,3,,3,4,,,,4,,,,,,,3,,,,,,,1,2,,,1,,,5,,,,11|31|23|9|16|4|37|30|34|12,4,"2,4",4,5
52,2022-10-14 16:32:49,2022-10-14 16:35:28,100,158,2022-10-14 16:35:29,R_33BXnmwOnYNlhrZ,,,,,,,,,,,,,1,4,,,,2,5,,2,5,,,,,5,,,,5,,,2,3,,,,,,34|35|18|27|14|22|31|21|13|19,20,1,2,,,,,,,,,,,,,1,1,,,,5,1,,1,1,,,,,1,,,,1,,,1,2,,,,,,34|35|18|27|14|22|31|21|13|19,4,"1,2,4,7",4,"3,5"
53,2022-10-14 16:33:06,2022-10-14 16:35:32,100,145,2022-10-14 16:35:32,R_2P26V30R8oPqrRl,4,,,,,,,,,,5,,,,,,,2,,,,5,,5,,,4,4,,,,5,5,,,,,,,4,28|11|40|24|33|22|27|18|1|32,20,2,2,3,,,,,,,,,,4,,,,,,,1,,,,4,,4,,,3,3,,,,4,4,,,,,,,2,28|11|40|24|33|22|27|18|1|32,1,"1,2,4",3,5
54,2022-10-14 16:33:16,2022-10-14 16:35:34,100,138,2022-10-14 16:35:35,R_32JeaRrxnV9bF0P,,,,,5,,,,4,5,,,3,,,,,,,5,,5,,4,,,,,,,,,,,,,,4,2,3,9|38|20|5|24|39|10|22|13|40,20,2,2,,,,,2,,,,2,3,,,2,,,,,,,4,,3,,4,,,,,,,,,,,,,,4,1,3,9|38|20|5|24|39|10|22|13|40,1,"1,4,10",2,4
55,2022-10-14 16:32:46,2022-10-14 16:35:44,100,178,2022-10-14 16:35:44,R_3g4VaT63T3PYfSH,3,,,,3,3,,2,,,,,,,,,2,,,,,,,,,3,3,4,,,,,3,,2,,,,,,27|6|8|35|28|17|5|26|1|33,18,2,3,1,,,,1,1,,3,,,,,,,,,3,,,,,,,,,2,1,3,,,,,1,,3,,,,,,27|6|8|35|28|17|5|26|1|33,4,"1,5,8",3,5
56,2022-10-14 16:33:20,2022-10-14 16:36:32,100,191,2022-10-14 16:36:32,R_1DLJZLmvp9qmNaB,,,,,,,,4,,4,,4,,4,,,2,,,,,,3,,4,,,,,4,,,,2,,,,,3,,14|12|25|17|39|30|34|10|8|23,21,1,3,,,,,,,,2,,3,,2,,1,,,2,,,,,,1,,2,,,,,1,,,,1,,,,,1,,14|12|25|17|39|30|34|10|8|23,4,"1,4,8",1,5
57,2022-10-14 16:32:47,2022-10-14 16:36:57,100,249,2022-10-14 16:36:57,R_ODtOuy7PhX0nxm1,3,,,4,,,,,,,,3,,,4,,3,,4,,,,,4,,,,,,,,,5,,4,2,,,,,35|33|12|1|24|36|17|4|15|19,20,1,3,2,,,3,,,,,,,,3,,,3,,2,,4,,,,,3,,,,,,,,,3,,2,4,,,,,35|33|12|1|24|36|17|4|15|19,1,"1,4,8,10",2,"1,4,5"
58,2022-10-14 16:33:31,2022-10-14 16:38:36,100,304,2022-10-14 16:38:37,R_2R9734Eil3l5k48,,,,,4,,,,3,,,,3,,,,,1,,,3,4,,,4,,4,,,3,,,,,,,,,,3,5|22|27|21|13|25|9|30|18|40,31,2,2,,,,,1,,,,2,,,,1,,,,,1,,,1,1,,,1,,2,,,2,,,,,,,,,,1,5|22|27|21|13|25|9|30|18|40,3,5,2,6
59,2022-10-14 16:36:05,2022-10-14 17:23:52,100,2866,2022-10-14 17:23:52,R_pADbKcEzrUVrKs9,,,,,,,,,,,5,,,,,,,,,,3,,,4,,3,,4,,5,5,1,,,,3,,,,5,36|21|24|30|32|40|26|31|28|11,20,1,3,,,,,,,,,,,5,,,,,,,,,,3,,,5,,5,,5,,5,4,5,,,,5,,,,5,36|21|24|30|32|40|26|31|28|11,2,"1,2,4",4,4
60,2022-10-08 15:50:21,2022-10-08 15:51:57,85,96,2022-10-15 15:51:59,R_3j8TPa0tAtAbf9C,4,,,,,4,,,1,,,,,,,1,1,,,,,5,,,,,,,,,,,5,,,2,1,,,2,17|36|33|1|6|22|9|37|16|40,24,1,1,1,,,,,1,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,1,,,1,1,,,1,17|36|33|1|6|22|9|37|16|40,1,5,1,1
64,2022-10-17 16:40:45,2022-10-17 16:41:44,100,59,2022-10-17 16:41:45,R_1OKbZ0rgjHtVgvd,4,,4,,,4,,,,,,,,,,5,,,4,,,,,,4,,,,,,5,,5,,,5,2,,,,25|31|36|16|3|6|33|1|37|19,21,2,1,1,,1,,,1,,,,,,,,,,1,,,1,,,,,,1,,,,,,1,,1,,,1,1,,,,25|31|36|16|3|6|33|1|37|19,4,"1,4,7",2,5
65,2022-10-17 16:42:22,2022-10-17 16:43:45,100,82,2022-10-17 16:43:46,R_3CDZfYKYS5Y7qyz,,,3,,2,,2,,,4,,,,,,,,,,4,,,2,,,,2,,,,,1,3,,,,,3,,,23|7|38|32|20|27|33|10|5|3,20,1,3,,,1,,1,,1,,,3,,,,,,,,,,4,,,1,,,,1,,,,,1,1,,,,,4,,,23|7|38|32|20|27|33|10|5|3,2,"1,2,4",1,5
66,2022-10-17 16:42:15,2022-10-17 16:45:00,100,165,2022-10-17 16:45:00,R_1pXPnkm6mZk9HPE,,,,,5,5,,,,,,,5,,,5,3,,5,,,,,,,,5,,,,5,,,,5,,,5,,,6|35|27|5|31|38|17|19|13|16,19,2,2,,,,,1,1,,,,,,,1,,,3,1,,1,,,,,,,,1,,,,1,,,,2,,,5,,,6|35|27|5|31|38|17|19|13|16,3,"1,4,10",2,"4,5"
67,2022-10-17 16:45:44,2022-10-17 16:47:13,100,88,2022-10-17 16:47:13,R_2WJuYHF4VSanb1j,,,3,,,1,,1,,,,,,,,,1,,4,5,,,,,,3,,,,,5,,,2,,,,,,3,6|40|20|26|17|3|19|31|8|34,19,2,2,,,5,,,5,,3,,,,,,,,,3,,4,5,,,,,,5,,,,,4,,,1,,,,,,5,6|40|20|26|17|3|19|31|8|34,1,"1,2,4",2,5
68,2022-10-17 16:45:47,2022-10-17 16:47:20,100,93,2022-10-17 16:47:21,R_1dH2P2wG3nq634K,,,,,5,,,,,5,5,2,,,,,,2,,,,,,5,,,,4,,,5,4,,,,,,,,4,5|12|40|24|10|18|31|11|28|32,20,2,2,,,,,4,,,,,3,3,5,,,,,,1,,,,,,3,,,,4,,,2,5,,,,,,,,2,5|12|40|24|10|18|31|11|28|32,3,"1,3,6",4,5
69,2022-10-17 16:45:31,2022-10-17 16:47:30,100,119,2022-10-17 16:47:30,R_O3FTb0ywXPBQTHH,,,,1,,,,3,4,,,,2,5,,,,,,5,,5,4,,,,5,,5,,,,,,,,,,,,8|4|22|23|13|29|27|14|9|20,21,1,2,,,,2,,,,3,4,,,,2,1,,,,,,5,,3,4,,,,3,,2,,,,,,,,,,,,8|4|22|23|13|29|27|14|9|20,1,"1,4,10",5,"1,5"
70,2022-10-17 16:34:44,2022-10-17 16:47:41,100,777,2022-10-17 16:47:42,R_3kdF6LsxME2hLXG,,,,,,,4,,4,,,,,,,5,1,,,4,4,5,3,,,,,,,4,,,,,,5,,,,,16|30|20|23|17|36|22|9|21|7,19,2,2,,,,,,,4,,3,,,,,,,4,1,,,4,2,3,2,,,,,,,2,,,,,,4,,,,,16|30|20|23|17|36|22|9|21|7,3,"1,4",4,5
71,2022-10-17 16:46:12,2022-10-17 16:48:09,100,116,2022-10-17 16:48:09,R_22QaSTFfx9HvqxL,,1,,,5,,,,,,,2,,,,,,,3,,3,,,5,,,,,,1,,,,1,,5,,,,2,34|21|5|24|36|19|12|30|2|40,21,2,1,,3,,,2,,,,,,,3,,,,,,,4,,3,,,5,,,,,,3,,,,3,,2,,,,3,34|21|5|24|36|19|12|30|2|40,3,"1,2,4",2,4
72,2022-10-17 16:37:59,2022-10-17 16:48:56,100,656,2022-10-17 16:48:56,R_2VJf82c4wJQ0f8p,,1,,4,,,,,,5,,,,,,,,,,,,5,,3,,,5,,,1,5,,,,,,,5,,5,4|2|27|31|40|22|38|24|30|10,21,1,3,,1,,1,,,,,,3,,,,,,,,,,,,1,,5,,,3,,,1,2,,,,,,,3,,1,4|2|27|31|40|22|38|24|30|10,2,"1,4,10",3,6
73,2022-10-17 16:48:25,2022-10-17 16:50:30,100,125,2022-10-17 16:50:30,R_2sSz4KBT3e6bQCv,2,,4,,,5,3,,,5,,,,,,,,,,,,5,,2,,,,3,,,,5,,,,5,,,,,22|24|3|32|10|36|7|1|28|6,20,1,3,2,,2,,,2,2,,,2,,,,,,,,,,,,2,,4,,,,4,,,,3,,,,2,,,,,22|24|3|32|10|36|7|1|28|6,4,"1,2,4",2,1
74,2022-10-17 16:48:20,2022-10-17 16:50:47,100,147,2022-10-17 16:50:47,R_uaANmZryc9ygD9T,,1,,,,,3,,,,5,,,,,,,,,,,5,,4,,4,,4,,,,,,2,3,,,,,2,11|40|7|24|26|22|35|28|34|2,25,1,3,,2,,,,,2,,,,1,,,,,,,,,,,2,,1,,1,,3,,,,,,1,2,,,,,1,11|40|7|24|26|22|35|28|34|2,4,"1,4,10",3,6
75,2022-10-17 16:48:48,2022-10-17 16:50:54,100,126,2022-10-17 16:50:55,R_1dmFhE7IfScdjul,,1,,,,5,,,,,5,,,,,2,,,4,,,,3,,4,,4,4,,,,,,,,,,,1,,25|28|19|2|16|11|23|27|39|6,20,1,2,,1,,,,3,,,,,5,,,,,2,,,1,,,,1,,1,,1,3,,,,,,,,,,,1,,25|28|19|2|16|11|23|27|39|6,2,"1,4,10",2,"4,5,6"
76,2022-10-17 16:48:32,2022-10-17 16:51:09,100,157,2022-10-17 16:51:10,R_1HcnW2iiKExOUM2,,1,,,3,,,,,,,,,2,4,,,,,5,4,,,,,4,,,4,,,,,,,,3,4,,,29|38|2|37|21|26|15|20|14|5,19,2,2,,1,,,1,,,,,,,,,1,4,,,,,5,2,,,,,4,,,2,,,,,,,,2,4,,,29|38|2|37|21|26|15|20|14|5,4,"1,4,8",2,5
77,2022-10-17 16:49:30,2022-10-17 16:51:31,100,121,2022-10-17 16:51:31,R_1JK2KlFw8hDv9BE,,,,,5,,,,,,4,,1,,,3,,3,,,2,,,,,,,3,,,,2,,1,,,,,,5,34|32|16|13|40|18|21|5|28|11,20,1,1,,,,,4,,,,,,2,,3,,,3,,1,,,1,,,,,,,5,,,,2,,1,,,,,,2,34|32|16|13|40|18|21|5|28|11,2,"4,10",4,"2,4,5"
78,2022-10-17 16:35:47,2022-10-17 16:51:51,100,963,2022-10-17 16:51:51,R_ukLPpN05O5L6kcF,,,,,4,,,4,,,5,,3,3,,,3,,,,,5,,4,,,,,,,5,,,,,,,,,3,24|13|40|31|11|5|22|14|8|17,20,2,3,,,,,1,,,4,,,4,,1,1,,,3,,,,,1,,3,,,,,,,2,,,,,,,,,1,24|13|40|31|11|5|22|14|8|17,3,"1,2,4,5,8,9",5,"4,5"
79,2022-10-10 16:51:14,2022-10-10 16:52:26,85,72,2022-10-17 16:52:31,R_2qyEmJUUxHMLsCH,4,,,,,,,,,,,,,,,,2,2,3,5,,5,,,,,4,,,,,5,,,,,2,5,,,38|27|17|19|22|20|1|18|37|32,20,2,2,1,,,,,,,,,,,,,,,,3,4,3,5,,3,,,,,1,,,,,4,,,,,4,4,,,38|27|17|19|22|20|1|18|37|32,4,4,4,5
80,2022-10-10 16:52:27,2022-10-10 16:53:46,85,79,2022-10-17 16:53:51,R_2dGSDo4VKAmrqdB,5,,5,,,,,,,,,,,,,,,,3,,,,,,,4,,5,,,5,,5,,,5,5,,1,,39|3|36|33|31|37|19|26|28|1,19,1,3,1,,5,,,,,,,,,,,,,,,,4,,,,,,,2,,2,,,5,,5,,,5,3,,1,,39|3|36|33|31|37|19|26|28|1,3,"1,4,5",1,6
81,2022-10-17 16:52:44,2022-10-17 16:54:18,100,93,2022-10-17 16:54:18,R_exQXkNK8OMWLKJX,2,,3,1,,5,,,,,5,,,,,,,,,,2,5,,,,,,,,,5,5,,1,,,,,,,11|32|3|6|34|21|1|31|22|4,21,2,3,1,,3,3,,2,,,,,4,,,,,,,,,,1,4,,,,,,,,,2,4,,1,,,,,,,11|32|3|6|34|21|1|31|22|4,5,"1,4,8",1,5
82,2022-10-17 16:52:07,2022-10-17 16:55:06,100,179,2022-10-17 16:55:06,R_1LHZ6iqZN0BGmJg,,,,,,5,,,,,,5,4,,,,1,,5,,4,,,5,,,,4,,,,,,,,,,5,3,,39|38|21|24|19|28|17|12|13|6,21,2,2,,,,,,4,,,,,,3,3,,,,1,,3,,4,,,4,,,,3,,,,,,,,,,5,1,,39|38|21|24|19|28|17|12|13|6,3,"1,9,10",3,5
